review_id,steam_id,playtime_forever,review_text,voted_up,bug_detected,timestamp_created
80989139,76561198865647659,739,"relic hunters zero é simplesmente sensacional, muito divertido e viciante, além de ser completamente gratuito, por isso, venho recomendar esse maravilhoso game para vocês. irei citar agora os pontos negativos e positivos: [b] pontos positivos: [/b] [list] [*]muito divertido [*]viciante [*]leve [*]gratuito [*]você pode jogar com um amigo (coop local) [*]mecânica interessante [*]gráficos bonitos [*]músicas insanas [*]muitas conquistas [*]uma boa variedade de personagens [*]muito frenético!! [/list] [b]pontos negativos:[/b] [list] [*]a falta do modo online [*]apenas 4 fases [*]inimigos parecidos (não me refiro a aparência e sim a mecânica) [*]os mapas não apresentam uma variedade tão grande [/list] [b]considerações finais:[/b] olha, levando em conta que o jogo é gratuito e pesa uns 100mb, eu sinceramente desconsidero os pontos negativos, então se você tem uma bomba, carvão, torradeira, pedra como pc, recomendo fortemente baixar e se divertir. caso queira jogar com algum amigo porém não conseguem devido a distância e a falta do modo online, sugiro que baixem um programa chamado parsec, que vai permitir que seu amigo jogue com você, como se estivesse ao seu lado. para a equipe quero dar meus sinceros parabéns pelo exímio trabalho que realizaram, o jogo é muito bom, estou ansioso para o lançamento de relic hunters legend, que parece ser outro jogo incrível e que com toda certeza irei passar horas e horas da minha vida jogando. enfim, resumindo tudo, baixem logo esse jogo maravilhoso!!!",True,False,1606623180
79675566,76561198122424397,659,⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄ ⠄⠄⠄⢠⣶⣶⣦⣤⣶⣦⣤⣶⣶⣤⡄⠄⡆⠄ ⠄⣂⣀⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⠄⡆⠄ ⢠⢻⣿⡿⣟⡛⠻⢿⣿⣿⡿⠿⠟⠻⢿⣿⣇⠄ ⢀⣺⣿⡟⠋⡉⢉⠚⢿⣿⠗⢊⠙⡛⢿⣿⡌⠄ ⠈⣝⣿⣿⣿⣧⣤⣤⣿⣿⣶⣤⣼⣿⣿⣿⡇⠄ ⠄⠙⣿⣿⣿⣿⣿⡿⣿⣿⣷⣿⣿⣿⣿⡟⠄⠄ ⠄⠄⣿⣿⣿⠛⣋⣩⣬⣥⣤⡍⢙⣿⣿⡇⠄⠄ ⠄⠄⠘⣿⣿⣴⣭⣿⣿⣿⣿⣵⣾⣿⠏⠄⠄⠄fodase? ⠄⠄⠄⣿⣿⣿⣿⣷⣤⣴⣿⣿⣿⣿⠄⣠⠤⠄ ⢀⠄⠚⣿⣿⣷⡌⣁⣀⣀⣩⣴⣿⣿⠄⠈⣍⣛.,True,False,1606073142
79279235,76561198253511289,521,muito massa! interessantes distinções entre os personagens. ritmo empolgante e armas que agregam muito a personalização do jogo.,True,False,1605398643
78738521,76561199013928793,1081,awesome game,True,False,1604539170
78569316,76561199064357249,133,joguei or uma hora e achei pitisimo,True,False,1604289652
78437314,76561199083770123,1101,,True,False,1604115691
78432988,76561198323107952,1790,mt bom mesmo,True,False,1604109101
78025681,76561199025123058,1711,zerei o game o jogo é uma lindeza ;) é muito bom por que além de gráficos bonitos ele é de graça! só faltou ser online daí vai ficar muito bom mas vlw aí glr por ler este comentário,True,False,1603471689
77930994,76561198845107046,252,bom,True,False,1603303122
77736786,76561198060762838,15260,bom,True,False,1602988223
